Tweeter Account,Tweets,Created Date,Compound Score,Positive Score,Negative Score,Neutral Score
BBC News (World),Separation of migrant families: What other countries do https://t.co/bummTfGy1s,Wed Jun 06 23:38:56 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Meet the nuns helping save a sacred species from extinction https://t.co/ZnNO70hVWK,Wed Jun 06 23:33:41 +0000 2018,0.66,0.40,0.00,0.60
BBC News (World),G7 summit: Trapped in the world's most secure house https://t.co/vi0xs1ZJP0,Wed Jun 06 23:33:40 +0000 2018,-0.18,0.19,0.24,0.57
BBC News (World),A North Korean wishlist: The three things Pyongyang wants https://t.co/Jhom6dFvdG,Wed Jun 06 23:33:40 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Ethiopia offers Eritrea chance to end Africa's longest war https://t.co/FJE1bCvTjE,Wed Jun 06 23:17:39 +0000 2018,-0.44,0.14,0.28,0.58
BBC News (World),"Storm over India film on women who 'smoke, drink and have sex' https://t.co/TsbQ2QeEcm",Wed Jun 06 23:12:51 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),The deadly cost of the US air war in Afghanistan https://t.co/83XJGbbxwJ,Wed Jun 06 23:08:13 +0000 2018,-0.60,0.00,0.28,0.72
BBC News (World),Texas man nearly dies after being bitten by severed snake head https://t.co/0eT1E5Po4f,Wed Jun 06 23:08:13 +0000 2018,-0.36,0.00,0.18,0.81
BBC News (World),"Kate Spade's husband: Apparent suicide a ""complete shock"" https://t.co/9tgj8h359d",Wed Jun 06 23:03:19 +0000 2018,-0.80,0.00,0.54,0.46
BBC News (World),Trump accused of not knowing words to God Bless America https://t.co/FOMRl0Ld0w,Wed Jun 06 22:44:33 +0000 2018,0.40,0.33,0.15,0.53
BBC News (World),Backwards commute: Car escapes traffic by driving in reverse https://t.co/R2nutyUeZW,Wed Jun 06 22:10:23 +0000 2018,0.13,0.14,0.00,0.86
BBC News (World),Slovakia: Why is a Nato state using Soviet-designed jets? https://t.co/ygICxWiyYI,Wed Jun 06 21:55:16 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Scores of Ethiopian migrants drown off Yemen's coast https://t.co/KayTYyusIw,Wed Jun 06 21:18:42 +0000 2018,-0.57,0.00,0.32,0.68
